Date,Time,Temp_PT100_1,Temp_PT100_2,pH_Value,Bag_Height
05-04-2017,15:04:40,0,0,0,318.049
05-04-2017,15:05:40,0,0,0,318.049
05-04-2017,15:06:40,0,0,0,318.049
05-04-2017,15:07:40,0,0,0,318.049
05-04-2017,15:08:40,0,0,0,318.049
05-04-2017,15:09:40,0,0,0,318.049
05-04-2017,15:10:40,0,0,0,318.049
05-04-2017,15:11:40,0,0,0,318.049
05-04-2017,15:12:40,0,0,0,318.049
05-04-2017,15:13:40,0,0,0,318.049
05-04-2017,15:14:40,0,0,0,318.049
05-04-2017,15:15:40,0,0,0,318.049
05-04-2017,15:16:40,0,0,0,318.049
05-04-2017,15:17:40,0,0,0,318.049
05-04-2017,15:18:40,0,0,0,318.049
05-04-2017,15:19:40,0,0,0,318.049
05-04-2017,15:20:40,0,0,0,318.049
05-04-2017,15:21:40,0,0,0,318.049
05-04-2017,15:22:40,0,0,0,318.049
05-04-2017,15:23:40,0,0,0,318.049
05-04-2017,15:24:40,0,0,0,318.049
05-04-2017,15:25:40,0,0,0,318.049
05-04-2017,15:26:40,0,0,0,318.049
05-04-2017,15:27:40,0,0,0,318.049
05-04-2017,15:28:40,0,0,0,318.049
05-04-2017,15:29:40,0,0,0,318.049
05-04-2017,15:30:40,0,0,0,318.049
05-04-2017,15:31:40,0,0,0,318.049
05-04-2017,15:32:40,0,0,0,318.049
05-04-2017,15:33:40,0,0,0,318.049
05-04-2017,15:34:40,0,0,0,318.049
05-04-2017,15:35:40,-399.6,0,0,318.049
05-04-2017,15:36:40,0,0,0,318.049
05-04-2017,15:37:40,16.5,0,0,318.049
05-04-2017,15:38:40,16.3,0,575.156,318.049
05-04-2017,15:39:40,16.3,0,571.219,318.049
05-04-2017,15:40:40,16.2,16.1,570.562,318.049
05-04-2017,15:41:40,16.2,16.2,570.312,318.049
05-04-2017,15:42:40,0,0,0,318.049
05-04-2017,15:43:40,16.2,16.1,0,318.049
05-04-2017,15:44:40,16,16,0,318.049
05-04-2017,15:45:40,16.1,16.2,0,318.049
05-04-2017,15:46:40,12.3,16.1,564.562,318.049
05-04-2017,15:47:40,0,0,0,318.049
05-04-2017,15:48:40,0,0,0,318.049
05-04-2017,15:49:40,16,16,562.719,318.049
05-04-2017,15:50:40,15.9,15.9,563.156,318.049
05-04-2017,15:51:40,15.8,15.9,561.562,318.049
05-04-2017,15:52:40,15.9,15.9,561.406,318.049
05-04-2017,15:53:40,0,0,0,318.049
05-04-2017,15:54:40,15.8,16,560.125,318.049
05-04-2017,15:55:40,15.8,16,560.375,318.049
05-04-2017,15:56:40,15.8,15.8,561.781,318.049
05-04-2017,15:57:40,15.7,15.8,559.562,318.049
05-04-2017,15:58:40,15.9,15.7,559.094,318.049
05-04-2017,15:59:40,15.5,15.8,611.812,318.049
05-04-2017,16:00:40,15.7,15.8,591.562,318.049
05-04-2017,16:01:40,15.7,15.9,578.188,318.049
05-04-2017,16:02:40,15.8,15.9,568.344,318.049
05-04-2017,16:03:40,15.9,16,564.094,318.049
05-04-2017,16:04:40,15.8,15.6,560.406,234.207
05-04-2017,16:05:40,15.6,15.9,557.812,246.232
05-04-2017,16:06:40,15.6,15.9,1223.97,180.244
05-04-2017,16:07:40,16,15.7,1223.97,195.207
05-04-2017,16:08:40,16.1,15.7,1223.97,228.683
05-04-2017,16:09:40,15.6,15.7,1223.97,238.976
05-04-2017,16:10:40,15.7,15.7,1223.97,211.037
