Date,Time,Temp_PT100_1,Temp_PT100_2,pH_Value,Bag_Height
19-03-2017,15:00:40,0,0,0,318.049
19-03-2017,15:01:40,0,0,0,318.049
19-03-2017,15:02:40,0,0,0,318.049
19-03-2017,15:03:40,0,0,0,318.049
19-03-2017,15:04:40,0,0,0,318.049
19-03-2017,15:05:40,0,0,0,318.049
19-03-2017,15:06:40,0,0,0,318.049
19-03-2017,15:07:40,0,0,0,318.049
19-03-2017,15:08:40,0,0,0,318.049
19-03-2017,15:09:40,0,0,0,318.049
19-03-2017,15:10:40,0,0,0,318.049
19-03-2017,15:11:40,0,0,0,318.049
19-03-2017,15:12:40,0,0,0,318.049
19-03-2017,15:13:40,0,0,0,318.049
19-03-2017,15:14:40,0,0,0,318.049
19-03-2017,15:15:40,0,0,0,318.049
19-03-2017,15:16:40,0,0,0,318.049
19-03-2017,15:17:40,0,0,0,318.049
19-03-2017,15:18:40,0,0,0,318.049
19-03-2017,15:19:40,0,0,0,318.049
19-03-2017,15:20:40,0,0,0,318.049
19-03-2017,15:21:40,0,0,0,318.049
19-03-2017,15:22:40,0,0,0,318.049
19-03-2017,15:23:40,0,0,0,318.049
19-03-2017,15:24:40,0,0,0,318.049
19-03-2017,15:25:40,0,0,0,318.049
19-03-2017,15:26:40,0,0,0,318.049
19-03-2017,15:27:40,0,0,0,318.049
19-03-2017,15:28:40,0,0,0,318.049
19-03-2017,15:29:40,0,0,0,318.049
19-03-2017,15:30:40,0,0,0,318.049
19-03-2017,15:31:40,0,0,0,318.049
19-03-2017,15:32:40,0,0,0,318.049
19-03-2017,15:33:40,0,0,0,318.049
19-03-2017,15:34:40,0,0,0,318.049
19-03-2017,15:35:40,0,0,0,318.049
19-03-2017,15:36:40,0,0,0,318.049
19-03-2017,15:37:40,0,0,0,318.049
19-03-2017,15:38:40,0,0,0,318.049
19-03-2017,15:39:40,0,0,0,318.049
19-03-2017,15:40:40,0,0,0,318.049
19-03-2017,15:41:40,0,0,0,318.049
19-03-2017,15:42:40,0,0,0,318.049
19-03-2017,15:43:40,0,0,0,318.049
19-03-2017,15:44:40,0,0,0,318.049
19-03-2017,15:45:40,0,0,0,318.049
19-03-2017,15:46:40,0,0,0,318.049
19-03-2017,15:47:40,0,0,0,318.049
19-03-2017,15:48:40,0,0,0,318.049
19-03-2017,15:49:40,0,0,0,318.049
19-03-2017,15:50:40,0,0,0,318.049
19-03-2017,15:51:40,0,0,0,318.049
19-03-2017,15:52:40,0,0,0,318.049
19-03-2017,15:53:40,0,0,0,318.049
19-03-2017,15:54:40,0,0,0,318.049
19-03-2017,15:55:40,0,0,0,318.049
19-03-2017,15:56:40,0,0,0,318.049
19-03-2017,15:57:40,0,0,0,318.049
19-03-2017,15:58:40,0,0,0,318.049
19-03-2017,15:59:40,0,0,0,318.049
