Date,Time,Temp_PT100_1,Temp_PT100_2,pH_Value,Bag_Height
24-01-2017,10:58:08,27.4,0,0,3.87431
24-01-2017,10:59:08,27.3,0,0,3.75229
24-01-2017,11:00:08,27.2,0,0,3.63026
24-01-2017,11:01:08,27.4,0,0,3.93533
24-01-2017,11:02:08,27.4,0,0,3.66077
24-01-2017,11:03:08,27.4,0,0,3.72178
24-01-2017,11:04:08,27.4,0,0,3.63026
24-01-2017,11:05:08,27.4,0,0,3.8133
24-01-2017,11:06:08,27.4,0,0,3.87431
24-01-2017,11:07:08,27.4,0,0,3.78279
24-01-2017,11:08:08,27.5,0,0,3.78279
24-01-2017,11:09:08,27.3,0,0,3.84381
24-01-2017,11:10:08,27.4,0,0,3.75229
24-01-2017,11:11:08,27.5,0,0,3.75229
24-01-2017,11:12:08,27.6,0,0,3.63026
24-01-2017,11:13:08,27.5,0,0,3.66077
24-01-2017,11:14:08,27.3,0,0,3.96583
24-01-2017,11:15:08,27.4,0,0,3.8133
24-01-2017,11:16:08,27.3,0,0,3.72178
24-01-2017,11:17:08,27.3,0,0,3.72178
24-01-2017,11:18:08,27.4,0,0,3.63026
24-01-2017,11:19:08,27.3,0,0,3.90482
24-01-2017,11:20:08,27.4,0,0,3.87431
24-01-2017,11:21:08,27.2,0,0,3.72178
24-01-2017,11:22:08,27.4,0,0,3.66077
24-01-2017,11:23:08,27.4,0,0,3.53874
24-01-2017,11:24:08,27.5,0,0,3.84381
24-01-2017,11:25:08,27.2,0,0,3.90482
24-01-2017,11:26:08,27.1,0,0,3.69128
24-01-2017,11:27:08,27.2,0,0,3.99634
24-01-2017,11:28:08,27.3,0,0,194.783
24-01-2017,11:29:08,27.1,0,0,3.75229
24-01-2017,11:30:08,27.3,0,0,3.84381
24-01-2017,11:31:08,27.4,0,0,3.8133
24-01-2017,11:32:08,27.3,0,0,3.84381
24-01-2017,11:33:08,26.7,0,0,3.72178
24-01-2017,11:34:08,26.2,0,0,3.69128
24-01-2017,11:35:08,37.9,0,0,3.72178
24-01-2017,11:36:08,34,0,0,3.75229
24-01-2017,11:37:08,40.3,0,0,4.11836
24-01-2017,11:38:08,30.1,0,0,3.8133
24-01-2017,11:39:10,27.3,0,0,3.56925
24-01-2017,11:40:10,26.3,0,0,3.69128
24-01-2017,11:41:10,26.3,0,0,3.63026
24-01-2017,11:42:10,26.3,0,0,2.19646
24-01-2017,11:43:10,26.3,0,0,4.20988
24-01-2017,11:44:10,26.4,0,0,3.8133
24-01-2017,11:45:10,26.3,0,0,3.78279
24-01-2017,11:46:10,26.6,0,0,3.72178
24-01-2017,11:47:10,26.8,0,0,3.78279
24-01-2017,11:48:10,26.8,0,0,3.99634
24-01-2017,11:49:10,26.6,0,0,3.66077
24-01-2017,11:50:10,26.8,0,0,3.66077
24-01-2017,11:51:10,26.8,0,0,3.75229
24-01-2017,11:52:10,26.7,0,0,3.90482
24-01-2017,11:53:10,26.9,0,0,3.75229
24-01-2017,11:54:10,26.9,0,0,3.69128
24-01-2017,11:55:10,26.8,0,0,3.63026
24-01-2017,11:56:10,27,0,0,3.72178
24-01-2017,11:57:10,26.8,0,0,3.72178
24-01-2017,11:58:10,27.1,0,0,3.69128
24-01-2017,11:59:10,26.8,0,0,3.63026
24-01-2017,12:00:10,26.5,0,0,3.66077
24-01-2017,12:01:10,26.3,0,0,3.75229
24-01-2017,12:02:10,26.6,0,0,3.59976
24-01-2017,12:03:10,26.7,0,0,3.50824
24-01-2017,12:04:10,26.6,0,0,3.66077
24-01-2017,12:05:10,26.9,0,0,3.66077
24-01-2017,12:06:10,26.9,0,0,3.41672
24-01-2017,12:07:10,27.1,0,0,3.66077
24-01-2017,12:08:10,36.9,0,0,3.8133
24-01-2017,12:09:10,46.5,0,0,3.99634
24-01-2017,12:10:10,46.7,0,0,3.69128
24-01-2017,12:11:10,46.3,0,0,3.72178
24-01-2017,12:12:10,32.9,0,0,3.84381
24-01-2017,12:13:10,31.8,0,0,3.59976
24-01-2017,12:14:10,33,0,0,3.75229
24-01-2017,12:15:10,28.6,0,0,3.8133
24-01-2017,12:16:10,28.4,0,0,3.8133
24-01-2017,12:17:10,32.2,0,0,3.56925
24-01-2017,12:18:10,29.2,0,0,3.63026
24-01-2017,12:19:10,27.3,0,0,4.3014
24-01-2017,12:20:10,27,0,0,3.53874
24-01-2017,12:21:10,27,0,0,3.75229
24-01-2017,12:22:10,26.7,0,0,3.8133
24-01-2017,12:23:10,26.5,0,0,3.78279
24-01-2017,12:24:10,26.7,0,0,3.78279
24-01-2017,12:25:10,26.6,0,0,4.24039
24-01-2017,12:26:10,27.1,0,0,3.44722
24-01-2017,12:27:10,27,0,0,3.72178
24-01-2017,12:28:10,26.8,0,0,3.63026
24-01-2017,12:29:10,26.8,0,0,3.75229
24-01-2017,12:30:10,27,0,0,3.63026
24-01-2017,12:31:10,26.5,0,0,3.66077
24-01-2017,12:32:10,26.7,0,0,32.7273
24-01-2017,12:33:10,26.6,0,0,3.63636
24-01-2017,12:34:10,26.8,0,0,37.5455
24-01-2017,12:35:10,26.8,0,0,363.667
24-01-2017,12:36:10,26.8,0,0,25.9697
24-01-2017,12:37:10,26.8,0,0,13.303
24-01-2017,12:38:10,26.8,0,0,387.333
24-01-2017,12:39:10,26.7,0,0,151.091
24-01-2017,12:40:10,26.8,0,0,408.848
24-01-2017,12:41:10,27.1,0,0,41.1585
24-01-2017,12:42:10,26.6,0,0,24.0976
24-01-2017,12:43:10,26.6,0,0,14.3049
24-01-2017,12:44:18,26.8,0,0,170.451
24-01-2017,12:45:18,27.1,0,0,170.293
24-01-2017,12:46:18,26.7,0,0,174.378
24-01-2017,12:47:18,26.8,0,0,241.915
24-01-2017,12:48:18,26.9,0,0,75.4756
24-01-2017,12:49:18,26.9,0,0,75.3781
24-01-2017,12:50:18,27.1,0,0,75.4268
24-01-2017,12:51:18,27,0,0,75.3049
24-01-2017,12:52:18,27.1,0,0,75.3171
24-01-2017,12:53:18,27.3,0,0,75.3781
24-01-2017,12:54:18,27.2,0,0,75.3537
24-01-2017,12:55:18,26.8,0,0,75.3049
24-01-2017,12:56:18,26.9,0,0,75.3902
24-01-2017,12:57:18,27.1,0,0,75.2805
24-01-2017,12:58:18,27,0,0,75.2927
24-01-2017,12:59:18,26.9,0,0,75.3415
24-01-2017,13:00:18,26.7,0,0,75.3293
24-01-2017,13:01:18,27.1,0,0,75.2927
24-01-2017,13:02:18,29.1,0,0,243.89
24-01-2017,13:03:18,27.4,0,0,243.22
24-01-2017,13:04:18,27.1,0,0,243.11
24-01-2017,13:05:18,26.9,0,0,243.134
24-01-2017,13:06:18,26.9,0,0,243.366
24-01-2017,13:07:18,26.9,0,0,243.159
24-01-2017,13:08:18,27.1,0,0,243.207
24-01-2017,13:09:18,26.5,0,0,243.207
24-01-2017,13:10:18,27.3,0,0,243.159
24-01-2017,13:11:18,25.3,0,0,243.146
24-01-2017,13:12:18,25.7,0,0,243.122
24-01-2017,13:13:18,26.4,0,0,243.22
24-01-2017,13:14:18,27.3,0,0,242.805
24-01-2017,13:15:18,27,0,0,242.744
24-01-2017,13:16:18,26.4,0,0,242.866
24-01-2017,13:17:18,26.9,0,0,242.829
24-01-2017,13:18:18,26.2,0,0,75.439
24-01-2017,13:19:18,28.7,0,0,75.0854
24-01-2017,13:20:18,27.4,0,0,75.1219
24-01-2017,13:21:18,27.1,0,0,71.6341
24-01-2017,13:22:18,26.9,0,0,71.5488
24-01-2017,13:23:18,27,0,0,71.4756
24-01-2017,13:24:18,27,0,0,71.561
24-01-2017,13:25:18,27.2,0,0,71.4512
24-01-2017,13:26:18,27,0,0,71.5854
24-01-2017,13:27:18,27.1,0,0,71.4634
24-01-2017,13:28:18,27.3,0,0,70.4512
24-01-2017,13:29:18,26.9,0,0,70.4756
24-01-2017,13:30:18,27.1,0,0,70.4268
24-01-2017,13:31:18,26.9,0,0,70.5244
24-01-2017,13:32:18,27.1,0,0,70.2561
