Date,Time,Temp_PT100_1,Temp_PT100_2,pH_Value,Bag_Height
25-01-2017,09:50:17,0,0,0,318.049
25-01-2017,09:51:17,0,0,0,318.049
25-01-2017,09:52:17,0,0,0,318.049
25-01-2017,09:53:17,0,0,0,318.049
25-01-2017,09:54:23,0,0,0,318.049
25-01-2017,09:55:23,0,0,0,318.049
25-01-2017,09:56:23,0,0,0,318.049
25-01-2017,09:57:23,0,0,0,318.049
25-01-2017,09:58:23,0,0,0,318.049
25-01-2017,09:59:23,0,0,0,318.049
25-01-2017,10:00:23,0,0,0,318.049
25-01-2017,10:01:23,0,0,0,318.049
25-01-2017,10:02:23,0,0,0,318.049
25-01-2017,10:03:23,0,0,0,318.049
25-01-2017,10:04:23,0,0,0,318.049
25-01-2017,10:05:23,0,0,0,318.049
25-01-2017,10:06:23,0,0,0,318.049
25-01-2017,10:07:23,0,0,0,318.049
25-01-2017,10:08:23,0,0,0,318.049
25-01-2017,10:09:23,0,0,0,318.049
25-01-2017,10:10:23,0,0,0,318.049
25-01-2017,10:11:23,0,0,0,318.049
25-01-2017,10:12:23,0,0,0,318.049
25-01-2017,10:13:23,0,0,0,318.049
25-01-2017,10:14:23,0,0,0,318.049
25-01-2017,10:15:23,0,0,0,318.049
25-01-2017,10:16:23,0,0,0,318.049
25-01-2017,10:17:23,0,0,0,318.049
25-01-2017,10:18:23,0,0,0,318.049
25-01-2017,10:19:23,0,0,0,318.049
25-01-2017,10:20:23,0,0,0,318.049
25-01-2017,10:21:23,0,0,0,318.049
25-01-2017,10:22:23,0,0,0,318.049
25-01-2017,10:23:23,0,0,0,318.049
25-01-2017,10:24:23,0,0,0,318.049
25-01-2017,10:25:23,0,0,0,318.049
25-01-2017,10:26:23,0,0,0,318.049
25-01-2017,10:27:23,0,0,0,318.049
25-01-2017,10:28:23,0,0,0,318.049
25-01-2017,10:29:23,0,0,0,318.049
25-01-2017,10:30:23,0,0,0,318.049
25-01-2017,10:31:23,0,0,0,318.049
25-01-2017,10:32:23,0,0,0,318.049
25-01-2017,10:33:23,0,0,0,318.049
25-01-2017,10:34:23,0,0,0,318.049
25-01-2017,10:35:23,0,0,0,318.049
25-01-2017,10:36:23,0,0,0,318.049
25-01-2017,10:37:23,0,0,0,318.049
25-01-2017,10:38:23,0,0,0,318.049
25-01-2017,10:39:23,0,0,0,318.049
25-01-2017,10:40:23,0,0,0,318.049
25-01-2017,10:41:23,0,0,0,318.049
25-01-2017,10:42:23,0,0,0,318.049
25-01-2017,10:43:23,0,0,0,318.049
25-01-2017,10:44:23,0,0,0,318.049
25-01-2017,10:45:23,0,0,0,318.049
25-01-2017,10:46:23,0,0,0,318.049
25-01-2017,10:47:23,0,0,0,318.049
25-01-2017,10:48:23,0,0,0,318.049
25-01-2017,10:49:23,0,0,0,318.049
25-01-2017,10:50:23,0,0,0,318.049
25-01-2017,10:51:23,0,0,0,318.049
25-01-2017,10:52:23,0,0,0,318.049
25-01-2017,10:53:23,0,0,0,318.049
25-01-2017,10:54:23,0,0,0,318.049
25-01-2017,10:55:23,0,0,0,318.049
25-01-2017,10:56:23,0,0,0,318.049
25-01-2017,10:57:23,0,0,0,318.049
25-01-2017,10:58:23,0,0,0,318.049
25-01-2017,10:59:23,0,0,0,318.049
25-01-2017,11:00:23,0,0,0,318.049
25-01-2017,11:01:23,0,0,0,318.049
25-01-2017,11:02:23,0,0,0,318.049
25-01-2017,11:03:23,0,0,0,318.049
25-01-2017,11:04:23,0,0,0,318.049
25-01-2017,11:05:23,0,0,0,318.049
25-01-2017,11:06:23,0,0,0,318.049
25-01-2017,11:07:23,0,0,0,318.049
25-01-2017,11:08:23,0,0,0,318.049
25-01-2017,11:09:23,0,0,0,318.049
25-01-2017,11:10:23,0,0,0,318.049
25-01-2017,11:11:23,0,0,0,318.049
25-01-2017,11:12:23,0,0,0,318.049
25-01-2017,11:13:23,0,0,0,318.049
25-01-2017,11:14:23,0,0,0,318.049
25-01-2017,11:15:23,0,0,0,318.049
25-01-2017,11:16:23,0,0,0,318.049
25-01-2017,11:17:23,0,0,0,318.049
25-01-2017,11:18:23,0,0,0,318.049
25-01-2017,11:19:23,0,0,0,318.049
25-01-2017,11:20:23,0,0,0,318.049
25-01-2017,11:21:23,0,0,0,318.049
25-01-2017,11:22:23,0,0,0,318.049
25-01-2017,11:23:23,0,0,0,318.049
25-01-2017,11:24:23,0,0,0,318.049
25-01-2017,11:25:23,0,0,0,318.049
25-01-2017,11:26:23,0,0,0,318.049
25-01-2017,11:27:23,0,0,0,318.049
25-01-2017,11:28:23,0,0,0,318.049
25-01-2017,11:29:23,0,0,0,318.049
25-01-2017,11:30:23,0,0,0,318.049
25-01-2017,11:31:23,0,0,0,318.049
25-01-2017,11:32:23,0,0,0,318.049
25-01-2017,11:33:23,0,0,0,318.049
25-01-2017,11:34:23,0,0,0,318.049
25-01-2017,11:35:23,0,0,0,318.049
25-01-2017,11:36:23,0,0,0,318.049
25-01-2017,11:37:23,0,0,0,318.049
25-01-2017,11:38:23,0,0,0,318.049
25-01-2017,11:39:23,0,0,0,318.049
25-01-2017,11:40:23,0,0,0,318.049
25-01-2017,11:41:23,0,0,0,318.049
25-01-2017,11:42:23,0,0,0,318.049
25-01-2017,11:43:23,0,0,0,318.049
25-01-2017,11:44:23,0,0,0,318.049
25-01-2017,11:45:23,0,0,0,318.049
25-01-2017,11:46:23,0,0,0,318.049
25-01-2017,11:47:23,0,0,0,318.049
25-01-2017,11:48:23,0,0,0,318.049
25-01-2017,11:49:23,0,0,0,318.049
25-01-2017,11:50:23,0,0,0,318.049
25-01-2017,11:51:23,0,0,0,318.049
25-01-2017,11:52:23,0,0,0,318.049
25-01-2017,11:53:23,0,0,0,318.049
25-01-2017,11:54:23,0,0,0,318.049
25-01-2017,11:55:23,0,0,0,318.049
25-01-2017,11:56:23,0,0,0,318.049
25-01-2017,11:57:23,0,0,0,318.049
25-01-2017,11:58:23,0,0,0,318.049
25-01-2017,11:59:23,0,0,0,318.049
25-01-2017,12:00:23,0,0,0,318.049
25-01-2017,12:01:23,0,0,0,318.049
25-01-2017,12:02:23,0,0,0,318.049
25-01-2017,12:03:23,0,0,0,318.049
25-01-2017,12:04:23,0,0,0,318.049
25-01-2017,12:05:23,0,0,0,318.049
25-01-2017,12:06:23,0,0,0,318.049
25-01-2017,12:07:23,0,0,0,318.049
25-01-2017,12:08:23,0,0,0,318.049
25-01-2017,12:09:23,0,0,0,318.049
25-01-2017,12:10:23,0,0,0,318.049
25-01-2017,12:11:23,0,0,0,318.049
25-01-2017,12:12:23,0,0,0,318.049
25-01-2017,12:13:23,0,0,0,318.049
25-01-2017,12:14:23,0,0,0,318.049
25-01-2017,12:15:23,0,0,0,318.049
25-01-2017,12:16:23,0,0,0,318.049
25-01-2017,12:17:23,0,0,0,318.049
25-01-2017,12:18:23,0,0,0,318.049
25-01-2017,12:19:23,0,0,0,318.049
25-01-2017,12:20:23,0,0,0,318.049
25-01-2017,12:21:23,0,0,0,318.049
25-01-2017,12:22:23,0,0,0,318.049
25-01-2017,12:23:23,0,0,0,318.049
25-01-2017,12:24:23,0,0,0,318.049
25-01-2017,12:25:23,0,0,0,318.049
25-01-2017,12:26:23,0,0,0,318.049
25-01-2017,12:27:23,0,0,0,318.049
25-01-2017,12:28:23,0,0,0,318.049
25-01-2017,12:29:23,0,0,0,318.049
25-01-2017,12:30:23,0,0,0,318.049
25-01-2017,12:31:23,0,0,0,318.049
25-01-2017,12:32:23,0,0,0,318.049
25-01-2017,12:33:23,0,0,0,318.049
25-01-2017,12:34:23,0,0,0,318.049
