Date,Time,Storagetank_Mixe,Storagetank_Feed,Digester_Mixer,Digester_Heater_,Digester_Heater_,Gaspump,Mode_Stop,Mode_Manual,Mode_Auto,System_Started,Additive_Pump
17-03-2017,12:02:43,0,0,0,1,0,0,0,0,1,1,0
17-03-2017,12:02:44,0,0,0,1,1,0,0,0,1,1,0
17-03-2017,12:02:49,0,0,1,1,1,0,0,0,1,1,0
17-03-2017,12:03:59,0,0,0,0,0,0,0,0,1,0,0
17-03-2017,12:05:20,0,0,1,1,1,0,0,0,1,1,0
17-03-2017,12:07:01,0,0,0,0,0,0,0,0,1,0,0
17-03-2017,12:18:04,0,0,0,1,0,0,0,1,0,0,0
17-03-2017,12:18:04,0,0,0,0,0,0,0,1,0,0,0
17-03-2017,12:18:05,0,0,0,0,1,0,0,1,0,0,0
17-03-2017,12:18:06,0,0,0,0,0,0,0,1,0,0,0
17-03-2017,12:18:07,0,0,0,0,0,1,0,1,0,0,0
17-03-2017,12:18:12,0,0,0,0,0,0,0,1,0,0,0
17-03-2017,12:20:50,0,0,1,0,0,0,0,1,0,0,0
17-03-2017,12:21:47,0,0,0,0,0,0,0,1,0,0,0
17-03-2017,12:22:07,0,0,0,0,0,1,0,1,0,0,0
17-03-2017,12:23:10,0,0,0,0,0,0,0,1,0,0,0
17-03-2017,12:23:12,0,0,0,0,1,0,0,1,0,0,0
17-03-2017,12:23:13,0,0,0,0,0,0,0,1,0,0,0
17-03-2017,12:23:13,0,0,0,1,0,0,0,1,0,0,0
17-03-2017,12:23:14,0,0,0,0,0,0,0,1,0,0,0
