Date,Time,Storagetank_Mixe,Storagetank_Feed,Digester_Mixer,Digester_Heater_,Digester_Heater_,Gaspump,Mode_Stop,Mode_Manual,Mode_Auto,System_Started,Additive_Pump
23-03-2017,11:41:36,1,0,0,0,0,0,0,1,0,0,0
23-03-2017,11:41:38,0,0,0,0,0,0,0,1,0,0,0
23-03-2017,11:41:38,0,0,1,0,0,0,0,1,0,0,0
23-03-2017,11:41:39,0,0,0,0,0,0,0,1,0,0,0
23-03-2017,11:41:40,0,1,0,0,0,0,0,1,0,0,0
23-03-2017,11:41:41,0,0,0,0,0,0,0,1,0,0,0
23-03-2017,11:41:44,0,0,0,1,0,0,0,1,0,0,0
23-03-2017,11:41:45,0,0,0,0,0,0,0,1,0,0,0
23-03-2017,11:41:45,0,0,0,0,1,0,0,1,0,0,0
23-03-2017,11:41:46,0,0,0,0,0,0,0,1,0,0,0
23-03-2017,11:41:47,0,0,0,0,0,1,0,1,0,0,0
23-03-2017,11:41:48,0,0,0,0,0,0,0,1,0,0,0
23-03-2017,11:43:56,0,0,1,1,1,0,0,0,1,1,0
23-03-2017,11:43:58,0,0,0,0,0,0,0,0,1,0,0
23-03-2017,11:44:00,0,0,1,1,1,0,0,0,1,1,0
23-03-2017,11:44:01,0,0,0,0,0,0,0,0,1,0,0
23-03-2017,11:44:07,0,0,1,1,1,0,0,0,1,1,0
23-03-2017,11:46:15,0,0,1,1,1,1,0,0,1,1,0
23-03-2017,11:46:17,0,0,1,1,1,0,0,0,1,1,0
23-03-2017,12:00:55,0,0,0,0,0,0,0,0,1,1,0
23-03-2017,12:00:58,0,0,0,1,1,0,0,0,1,1,0
23-03-2017,12:00:59,0,0,1,1,1,0,0,0,1,1,0
23-03-2017,12:01:40,0,0,0,0,0,0,0,0,1,0,0
